src,timestamp,coordination.x,coordination.y
M_MOVE,1669607718.069,2569,1422
M_MOVE,1669607718.077,2572,1422
M_MOVE,1669607718.086,2576,1422
M_MOVE,1669607718.094,2577,1422
M_MOVE,1669607718.102,2578,1422
M_MOVE,1669607718.146,2578,1421
M_MOVE,1669607718.157,2578,1420
M_MOVE,1669607718.164,2578,1419
M_MOVE,1669607718.173,2578,1418
M_MOVE,1669607718.183,2578,1416
M_MOVE,1669607718.192,2578,1415
M_MOVE,1669607718.21,2578,1414
M_MOVE,1669607718.344,2578,1413
M_MOVE,1669607718.353,2577,1412
M_MOVE,1669607718.362,2576,1411
M_MOVE,1669607718.371,2570,1408
M_MOVE,1669607718.379,2562,1405
M_MOVE,1669607718.388,2548,1399
M_MOVE,1669607718.397,2525,1389
M_MOVE,1669607718.405,2498,1377
M_MOVE,1669607718.414,2475,1368
M_MOVE,1669607718.423,2429,1349
M_MOVE,1669607718.434,2335,1314
M_MOVE,1669607718.448,2276,1295
M_MOVE,1669607718.456,2228,1281
M_MOVE,1669607718.464,2169,1264
M_MOVE,1669607718.473,2076,1241
M_MOVE,1669607718.482,2038,1231
M_MOVE,1669607718.49,2009,1223
M_MOVE,1669607718.498,1994,1219
M_MOVE,1669607718.506,1984,1217
M_MOVE,1669607718.514,1976,1214
M_MOVE,1669607718.529,1971,1212
M_MOVE,1669607718.677,1971,1211
M_MOVE,1669607718.708,1971,1210
M_MOVE,1669607718.724,1971,1209
M_MOVE,1669607718.741,1971,1208
M_MOVE,1669607718.75,1971,1207
M_MOVE,1669607718.759,1971,1206
M_MOVE,1669607718.767,1971,1204
M_MOVE,1669607718.784,1971,1202
M_MOVE,1669607718.802,1971,1201
M_MOVE,1669607718.818,1971,1200
M_MOVE,1669607718.886,1971,1199
M_MOVE,1669607718.893,1970,1199
M_MOVE,1669607719.646,1971,1199
M_MOVE,1669607719.655,1972,1199
M_MOVE,1669607719.661,1974,1199
M_MOVE,1669607719.678,1980,1199
M_MOVE,1669607719.686,1984,1201
M_MOVE,1669607719.694,1988,1201
M_MOVE,1669607719.701,1992,1203
M_MOVE,1669607719.71,1995,1204
M_MOVE,1669607719.718,2000,1206
M_MOVE,1669607719.728,2005,1208
M_MOVE,1669607719.741,2013,1211
M_MOVE,1669607719.757,2021,1215
M_MOVE,1669607719.766,2025,1217
M_MOVE,1669607719.773,2032,1221
M_MOVE,1669607719.781,2037,1223
M_MOVE,1669607719.791,2041,1226
M_MOVE,1669607719.799,2046,1229
M_MOVE,1669607719.808,2053,1233
M_MOVE,1669607719.821,2058,1236
M_MOVE,1669607719.83,2065,1240
M_MOVE,1669607719.839,2071,1244
M_MOVE,1669607719.847,2073,1245
M_MOVE,1669607719.855,2076,1246
M_MOVE,1669607719.863,2078,1247
M_MOVE,1669607719.872,2079,1248
M_MOVE,1669607719.88,2081,1250
M_MOVE,1669607719.888,2083,1251
M_MOVE,1669607719.896,2084,1252
M_MOVE,1669607719.906,2085,1253
M_MOVE,1669607719.915,2087,1255
M_MOVE,1669607719.923,2088,1256
M_MOVE,1669607719.931,2089,1257
M_MOVE,1669607719.94,2091,1259
M_MOVE,1669607719.957,2093,1260
M_MOVE,1669607719.966,2094,1262
M_MOVE,1669607719.976,2095,1263
M_MOVE,1669607719.986,2096,1264
M_MOVE,1669607719.993,2096,1265
M_MOVE,1669607720.001,2097,1265
M_MOVE,1669607720.015,2098,1266
M_MOVE,1669607720.024,2098,1267
M_MOVE,1669607720.04,2099,1267
M_MOVE,1669607720.109,2099,1268
M_MOVE,1669607720.126,2100,1268
M_MOVE,1669607720.134,2100,1269
M_MOVE,1669607720.151,2100,1270
M_MOVE,1669607720.161,2100,1271
M_MOVE,1669607720.17,2101,1271
M_MOVE,1669607720.178,2102,1272
M_MOVE,1669607720.187,2102,1273
M_MOVE,1669607720.195,2103,1275
M_MOVE,1669607720.204,2104,1278
M_MOVE,1669607720.212,2105,1279
M_MOVE,1669607720.22,2106,1282
M_MOVE,1669607720.229,2111,1292
M_MOVE,1669607720.237,2112,1296
M_MOVE,1669607720.245,2114,1299
M_MOVE,1669607720.253,2115,1304
M_MOVE,1669607720.262,2119,1313
M_MOVE,1669607720.27,2120,1316
M_MOVE,1669607720.279,2121,1321
M_MOVE,1669607720.288,2122,1324
M_MOVE,1669607720.297,2124,1332
M_MOVE,1669607720.306,2126,1334
M_MOVE,1669607720.314,2126,1338
M_MOVE,1669607720.323,2127,1340
M_MOVE,1669607720.333,2128,1345
M_MOVE,1669607720.341,2129,1348
M_MOVE,1669607720.351,2130,1349
M_MOVE,1669607720.358,2130,1355
M_MOVE,1669607720.37,2131,1357
M_MOVE,1669607720.376,2131,1359
M_MOVE,1669607720.385,2131,1360
M_MOVE,1669607720.392,2132,1364
M_MOVE,1669607720.402,2132,1365
M_MOVE,1669607720.409,2132,1367
M_MOVE,1669607720.417,2132,1368
M_MOVE,1669607720.432,2133,1372
M_MOVE,1669607720.44,2133,1373
M_MOVE,1669607720.448,2133,1374
M_MOVE,1669607720.456,2133,1376
M_MOVE,1669607720.472,2133,1377
M_MOVE,1669607720.481,2133,1378
M_MOVE,1669607720.488,2133,1379
M_MOVE,1669607720.497,2133,1381
M_MOVE,1669607720.514,2133,1382
M_MOVE,1669607720.522,2133,1383
M_MOVE,1669607720.53,2133,1384
M_MOVE,1669607720.549,2133,1386
M_MOVE,1669607720.557,2133,1387
M_MOVE,1669607720.566,2133,1388
M_MOVE,1669607720.592,2134,1389
M_MOVE,1669607720.6,2134,1391
M_MOVE,1669607720.61,2134,1392
M_MOVE,1669607720.618,2134,1393
M_MOVE,1669607720.626,2134,1394
M_MOVE,1669607720.65,2134,1395
M_MOVE,1669607720.834,2134,1394
M_MOVE,1669607720.842,2134,1392
M_MOVE,1669607720.85,2134,1390
M_MOVE,1669607720.858,2134,1388
M_MOVE,1669607720.866,2133,1385
M_MOVE,1669607720.875,2133,1381
M_MOVE,1669607720.885,2133,1378
M_MOVE,1669607720.894,2133,1371
M_MOVE,1669607720.904,2132,1365
M_MOVE,1669607720.91,2131,1356
M_MOVE,1669607720.919,2130,1348
M_MOVE,1669607720.928,2129,1332
M_MOVE,1669607720.937,2128,1322
M_MOVE,1669607720.946,2125,1304
M_MOVE,1669607720.954,2124,1294
M_MOVE,1669607720.962,2122,1278
M_MOVE,1669607720.97,2121,1271
M_MOVE,1669607720.979,2119,1263
M_MOVE,1669607720.987,2119,1256
M_MOVE,1669607720.995,2119,1254
M_MOVE,1669607721.004,2119,1253
M_MOVE,1669607721.012,2119,1252
M_MOVE,1669607721.02,2119,1251
M_MOVE,1669607721.029,2119,1250
M_MOVE,1669607721.082,2119,1249
M_MOVE,1669607721.131,2119,1248
M_MOVE,1669607721.171,2118,1247
M_MOVE,1669607721.18,2118,1246
M_MOVE,1669607721.188,2118,1245
M_MOVE,1669607721.197,2118,1243
M_MOVE,1669607721.206,2118,1242
M_MOVE,1669607721.215,2118,1240
M_MOVE,1669607721.224,2118,1237
M_MOVE,1669607721.242,2118,1236
M_MOVE,1669607721.277,2118,1235
M_MOVE,1669607721.295,2118,1234
M_MOVE,1669607721.312,2118,1233
M_MOVE,1669607721.338,2117,1233
M_MOVE,1669607721.488,2117,1231
M_MOVE,1669607721.504,2117,1229
M_MOVE,1669607721.512,2117,1227
M_MOVE,1669607721.521,2117,1226
M_MOVE,1669607721.53,2117,1225
M_MOVE,1669607721.538,2117,1223
M_MOVE,1669607721.554,2117,1222
M_MOVE,1669607721.572,2117,1221
M_MOVE,1669607721.588,2117,1220
M_MOVE,1669607722.512,2119,1219
M_MOVE,1669607722.523,2123,1219
M_MOVE,1669607722.531,2128,1219
M_MOVE,1669607722.54,2134,1218
M_MOVE,1669607722.548,2141,1217
M_MOVE,1669607722.556,2148,1217
M_MOVE,1669607722.565,2153,1216
M_MOVE,1669607722.573,2161,1216
M_MOVE,1669607722.582,2167,1216
M_MOVE,1669607722.591,2174,1216
M_MOVE,1669607722.599,2187,1215
M_MOVE,1669607722.615,2198,1214
M_MOVE,1669607722.624,2204,1214
M_MOVE,1669607722.631,2211,1213
M_MOVE,1669607722.64,2215,1213
M_MOVE,1669607722.648,2222,1213
M_MOVE,1669607722.657,2230,1213
M_MOVE,1669607722.665,2239,1213
M_MOVE,1669607722.673,2247,1213
M_MOVE,1669607722.682,2252,1213
M_MOVE,1669607722.69,2260,1213
M_MOVE,1669607722.699,2267,1213
M_MOVE,1669607722.707,2273,1213
M_MOVE,1669607722.715,2278,1213
M_MOVE,1669607722.723,2281,1213
M_MOVE,1669607722.732,2284,1213
M_MOVE,1669607722.741,2286,1213
M_MOVE,1669607722.748,2288,1213
M_MOVE,1669607722.757,2290,1213
M_MOVE,1669607722.766,2291,1213
M_MOVE,1669607722.784,2293,1213
M_MOVE,1669607722.792,2294,1213
M_MOVE,1669607722.808,2295,1213
M_MOVE,1669607722.816,2296,1213
M_MOVE,1669607722.832,2296,1214
M_MOVE,1669607722.841,2299,1214
M_MOVE,1669607722.85,2301,1214
M_MOVE,1669607722.859,2303,1214
M_MOVE,1669607722.867,2304,1214
M_MOVE,1669607722.876,2307,1214
M_MOVE,1669607722.884,2311,1214
M_MOVE,1669607722.893,2314,1214
M_MOVE,1669607722.901,2316,1214
M_MOVE,1669607722.909,2321,1215
M_MOVE,1669607722.919,2324,1215
M_MOVE,1669607722.926,2328,1215
M_MOVE,1669607722.935,2329,1215
M_MOVE,1669607722.943,2332,1216
M_MOVE,1669607722.952,2334,1216
M_MOVE,1669607722.96,2335,1216
M_MOVE,1669607722.97,2337,1217
M_MOVE,1669607722.98,2340,1218
M_MOVE,1669607722.988,2341,1219
M_MOVE,1669607722.997,2343,1221
M_MOVE,1669607723.005,2346,1223
M_MOVE,1669607723.014,2346,1225
M_MOVE,1669607723.023,2348,1229
M_MOVE,1669607723.031,2349,1231
M_MOVE,1669607723.04,2351,1236
M_MOVE,1669607723.048,2352,1238
M_MOVE,1669607723.057,2353,1243
M_MOVE,1669607723.065,2354,1245
M_MOVE,1669607723.074,2355,1251
